"VTYPE","VTITLE","UVTITLE","Inv_Book","Cash_Book","LDr","LCr","MDr","MCr","Stock","VT","ST_AC","STRate","ITax_AC","ITRate"
"100","Opening Balance","اوپنگ بيلنس","","","","","","","0","Opg","0","","",""
"101","Received Cash","نقد وصولى","0","1","0","2","","P2","0","CRV","0","","",""
"102","Payment in Cash","نقد ادائيگى","0","2","1","0","P","","0","CPV","0","","",""
"201","Journal Voucher","جنرل ووچر","","3","1","2","P","P2","0","JV","0","","",""
"202","Journal Voucher Inv","جنرل ووچر مال","","3","1","2","P","P2","0","JV","209","","",""
"203","Bank Payment","بنک ادائيگى","","3","1","2","P","P2","0","JV","0","","",""
"204","Bank Receipts","بنک وصولى","","3","1","2","P","P2","0","JV","0","","",""
"300","Opening Stock","اوپنگ سٹاک","","","","","","","0","Opening","0","","",""
"301","Net Purchase","نقد خريد","1","2","1","2","I","P2","1","Purchase","298","0.15","",""
"302","Purchase on Account","ادھار خريد","1","0","0","2","I","P2","1","Purchase","298","0.15","",""
"303","Production Received","پروڈکشن","1","0","0","0","","","2","Receipt","0","","",""
"304","Purchase Reverse Entry","واپسى خريد","2","0","1","0","P","I","3","Sale","681","","",""
"401","Cash Sale","نقد فروخت","2","1","1","2","P","I","3","Sale","287","0.15","",""
"402","Sale on Account","ادھار فروختگى","2","0","1","0","P","I","3","Sale","287","0.15","",""
"403","Raw Material Issued","ايشو خام مال","2","0","0","0","","","4","Issue","0","","",""
"404","Sale Reverse Entry","واپسى فروخت","1","0","0","2","I","P2","1","Reverse","610","","",""
